SYMBOL_SERIES,SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,
AIMTRON.ST,AIMTRON,Aimtron Electronics Limited,ST,06-Jun-24,10,INE0RUV01018,10,
ZTECH.ST,ZTECH,Z-Tech (India) Limited,ST,05-Jun-24,10,INE0ISZ01012,10,
BEACON.SM,BEACON,Beacon Trusteeship Limited,SM,04-Jun-24,10,INE639X01027,10,
VILAS.ST,VILAS,Vilas Transcore Limited,ST,03-Jun-24,10,INE0AZY01017,10,
GSMFOILS.ST,GSMFOILS,GSM Foils Limited,ST,31-May-24,10,INE0SQY01018,10,
RULKA.SM,RULKA,Rulka Electricals Limited,SM,24-May-24,10,INE0R7301013,10,
HOACFOODS.ST,HOACFOODS,Hoac Foods India Limited,ST,24-May-24,10,INE0S6S01017,10,
QUESTLAB.ST,QUESTLAB,Quest Laboratories Limited,ST,23-May-24,10,INE0TNW01017,10,
IEML.SM,IEML,Indian Emulsifiers Limited,SM,22-May-24,10,INE0RRU01016,10,
VERITAAS.SM,VERITAAS,Veritaas Advertising Limited,SM,21-May-24,10,INE0SRI01019,10,
MANDEEP.SM,MANDEEP,Mandeep Auto Industries Limited,SM,21-May-24,10,INE0R3T01013,10,
ABSMARINE.SM,ABSMARINE,ABS Marine Services Limited,SM,21-May-24,10,INE0QRV01016,10,
PRLIND.SM,PRLIND,Premier Roadlines Limited,SM,17-May-24,10,INE0CFG01012,10,
EMMIL.ST,EMMIL,Energy Mission Machineries (India) Limited,ST,16-May-24,10,INE0S1L01013,10,
SILKFLEX.SM,SILKFLEX,Silkflex Polymers (India) Limited,SM,15-May-24,10,INE0STN01015,10,
WINSOL.SM,WINSOL,Winsol Engineers Limited,SM,14-May-24,10,INE0S3D01016,10,
REFRACTORY.ST,REFRACTORY,Refractory Shapes Limited,ST,14-May-24,10,INE0TNX01015,10,
SLONE.ST,SLONE,Slone Infosystems Limited,ST,10-May-24,10,INE0SMA01017,10,
RBS.ST,RBS,Ramdevbaba Solvent Limited,ST,23-Apr-24,10,INE0RJH01010,10,
BIRDYS.SM,BIRDYS,Grill Splendour Services Limited,SM,23-Apr-24,10,INE0PC901019,10,
TGL.ST,TGL,Teerth Gopicon Limited,ST,16-Apr-24,10,INE0K6601012,10,
DCG.SM,DCG,DCG Cables & Wires Limited,SM,16-Apr-24,10,INE0S8401018,10,
DRSCARGO.ST,DRSCARGO,DRS Cargo Movers Limited,ST,10-Apr-24,10,INE0QZM01018,10,
CGRAPHICS.SM,CGRAPHICS,Creative Graphics Solutions India Limited,SM,09-Apr-24,10,INE0R7401011,10,
ALUWIND.SM,ALUWIND,Aluwind Architectural Limited,SM,09-Apr-24,10,INE0STM01017,10,
YASHOPTICS.SM,YASHOPTICS,Yash Optics & Lens Limited,SM,08-Apr-24,10,INE0TO601017,10,
K2INFRA.ST,K2INFRA,K2 Infragen Limited,ST,08-Apr-24,10,INE0DEZ01013,10,
TAC.ST,TAC,TAC Infosec Limited,ST,05-Apr-24,10,INE0SOY01013,10,
RADIOWALLA.SM,RADIOWALLA,Radiowalla Network Limited,SM,05-Apr-24,10,INE430U01019,10,
TRUST.SM,TRUST,Trust Fintech Limited,SM,04-Apr-24,10,INE0SWN01019,10,
BLUEPEBBLE.SM,BLUEPEBBLE,Blue Pebble Limited,SM,03-Apr-24,10,INE0SAK01011,10,
ASPIRE.ST,ASPIRE,Aspire & Innovative Advertising Limited,ST,03-Apr-24,10,INE0S7801010,10,
NAMAN.ST,NAMAN,Naman In-Store (India) Limited,ST,02-Apr-24,10,INE0RJM01010,10,
VISHWAS.SM,VISHWAS,Vishwas Agri Seeds Limited,SM,01-Apr-24,10,INE0S2E01016,10,
ENSER.ST,ENSER,Enser Communications Limited,ST,22-Mar-24,10,INE0R9I01013,10,
ENFUSE.ST,ENFUSE,Enfuse Solutions Limited,ST,22-Mar-24,10,INE0S3X01014,10,
AVPINFRA.ST,AVPINFRA,AVP Infracon Limited,ST,20-Mar-24,10,INE0R9401019,10,
SIGNORIA.ST,SIGNORIA,Signoria Creation Limited,ST,19-Mar-24,10,INE0RDE01010,10,
PRATHAM.ST,PRATHAM,Pratham EPC Projects Limited,ST,18-Mar-24,10,INE0QA601016,10,
SHREEKARNI.SM,SHREEKARNI,Shree Karni Fabcom Limited,SM,14-Mar-24,10,INE0S4Y01010,10,
SONAMAC.ST,SONAMAC,Sona Machinery Limited,ST,13-Mar-24,10,INE0Q6H01012,10,
VR.ST,VR,V R Infraspace Limited,ST,12-Mar-24,10,INE0QQM01017,10,
MVKAGRO.SM,MVKAGRO,M.V.K. Agro Food Product Limited,SM,07-Mar-24,10,INE0SGC01015,10,
PURVFLEXI.SM,PURVFLEXI,Purv Flexipack Limited,SM,05-Mar-24,10,INE0R6C01012,10,
OWAIS.SM,OWAIS,Owais Metal And Mineral Processing Limited,SM,04-Mar-24,10,INE0R8M01017,10,
SADHAV.SM,SADHAV,Sadhav Shipping Limited,SM,01-Mar-24,10,INE0K5H01010,10,
ZENITHDRUG.ST,ZENITHDRUG,Zenith Drugs Limited,ST,27-Feb-24,10,INE0QWN01013,10,
DEEM.SM,DEEM,Deem Roll Tech Limited,SM,27-Feb-24,10,INE586O01011,10,
TCL.SM,TCL,Thaai Casting Limited,SM,23-Feb-24,10,INE0QJL01014,10,
KTL.ST,KTL,Kalahridhaan Trendz Limited,ST,23-Feb-24,10,INE02M801018,10,
INM.SM,INM,Interiors & More Limited,SM,23-Feb-24,10,INE0OPC01015,10,
ESCONET.ST,ESCONET,Esconet Technologies Limited,ST,23-Feb-24,10,INE0RQZ01017,10,
ATMASTCO.ST,ATMASTCO,Atmastco Limited,ST,23-Feb-24,10,INE05DH01017,10,
