cik,symbol
833021,NYSE:CIF
833040,NYSE:FT
833079,NYSE:MTH
833444,NYSE:JCI
833640,NASDAQ:POWI
834285,OTC:FRBK
834365,NASDAQ:BLFS
835011,NASDAQ:MGPI
835324,NASDAQ:SYBT
835333,NYSE:OIA
835403,LSE:DGE
835662,OTC:AIXN
835948,NYSE:MVF
836147,NASDAQ:MBCN
836157,NYSE:LNN
836412,NYSE:ZTR
836564,OTC:CPMV
836690,NASDAQ:ISSC
836937,OTC:UPDC
837465,NYSE:MODG
837852,OTC:IDEX
838131,NYSE:JMM
838875,NASDAQ:WVVI
839087,OTC:VASO
839533,NYSE:KTF
839923,LSE:VOD
840489,NASDAQ:FCFS
840551,TSX:TMD
840715,NASDAQ:CLRO
841533,OTC:SRMX
842023,NASDAQ:TECH
842162,NYSE:LEA
842180,BME:BBVA
842517,OTC:ISBA
842633,NASDAQ:TRS
842722,OTC:DROP
844059,NASDAQ:FRPH
844150,LSE:NWG
844551,ASX:WDS
844790,NYSE:PMM
844856,OTC:HCMC
844887,OTC:DHCC
844965,NYSE:TTI
845379,NYSE:CHN
845385,OTC:PIAC
845606,NYSE:CXE
845611,NYSE:GCV
845819,OTC:KTEL
845877,NYSE:AGM
845982,LSE:SN.
846475,NASDAQ:ZYXI
846546,OTC:BNSOF
846596,NYSE:KSM
846617,NASDAQ:DCOM
846671,NYSE:VLT
