"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"AVR","ANTERIS TECHNOLOGIES GLOBAL CORP.","Health Care Equipment & Services","24/03/2004",185721206
"AVW","AVIRA RESOURCES LTD","Materials","09/01/2013",1464902
"AW1","AMERICAN WEST METALS LIMITED","Materials","13/12/2021",21446731
"AWJ","AURIC MINING LIMITED","Materials","12/02/2021",38727876
"AX1","ACCENT GROUP LIMITED","Consumer Discretionary Distribution & Retail","07/07/2004",993328208
"AX8","ACCELERATE RESOURCES LIMITED","Materials","14/02/2018",3935944
"AXE","ARCHER MATERIALS LIMITED","Semiconductors & Semiconductor Equipment","14/08/2007",66260223
"AXI","AXIOM PROPERTIES LIMITED","Real Estate Management & Development","31/01/1997",12981410
"AXL","AXEL REE LIMITED","Materials","23/07/2024",9071633
"AXN","ALLIANCE NICKEL LIMITED","Materials","21/08/1980",21049349
"AXP","AXP ENERGY LIMITED","Energy","20/07/2006",6574681
"AYA","ARTRYA LIMITED","Health Care Equipment & Services","26/11/2021",67653305
"AYI","A1 INVESTMENTS & RESOURCES LTD","Financial Services","02/10/2007","SUSPENDED"
"AYM","AUSTRALIA UNITED MINING LIMITED","Materials","19/09/2011",3685155
"AYT","AUSTIN METALS LIMITED","Materials","06/07/2011",7870957
"AZ9","ASIAN BATTERY METALS PLC","Materials","29/09/2017",21638630
"AZI","ALTAMIN LIMITED","Materials","24/12/2009",13788069
"AZJ","AURIZON HOLDINGS LIMITED","Transportation","22/11/2010",5408362883
"AZL","ARIZONA LITHIUM LIMITED","Materials","08/07/1971",27370887
"AZY","ANTIPA MINERALS LIMITED","Materials","20/04/2011",222210575
"B4P","BEFOREPAY GROUP LIMITED","Financial Services","17/01/2022",51845246
"BAP","BAPCOR LIMITED","Consumer Discretionary Distribution & Retail","24/04/2014",1449291375
"BAS","BASS OIL LIMITED","Energy","30/09/2004",13071376
"BB1","BLINKLAB LIMITED","Health Care Equipment & Services","04/04/2024",33787501
"BBC","BNK BANKING CORPORATION LIMITED","Banks","22/05/2012",31460642
"BBL","BRISBANE BRONCOS LIMITED","Media & Entertainment","12/05/1989",98040632
"BBN","BABY BUNTING GROUP LIMITED","Consumer Discretionary Distribution & Retail","14/10/2015",198332346
"BBT","BETR ENTERTAINMENT LIMITED","Consumer Services","02/07/2021",160984359
"BC8","BLACK CAT SYNDICATE LIMITED","Materials","30/01/2018",624066044
